cpu_model,core,thread,cpu_base_freq,cpu_max_freq,cache,integrated_gpu
2176M,6,12,2.7,4.4,12,"UHD P630"
2186M,6,12,2.9,4.8,12,"UHD P630"
2200U,2,4,2.5,3.4,4,"Vega 3"
2300U,4,4,2,3.4,4,"Vega 6"
2500U,4,8,2,3.6,4,"Vega 8"
2600H,4,8,3.2,3.6,4,"Vega 8"
2700U,4,8,2.2,3.8,4,"Vega 10"
2800H,4,8,3.3,3.8,4,"Vega 11"
3865U,2,2,1.8,NULL,2,"HD 610"
3965U,2,2,2.2,NULL,2,"HD 610"
4410Y,2,4,1.5,NULL,2,"HD 615"
4415U,2,4,2.3,NULL,2,"HD 610"
7020U,2,4,2.3,NULL,3,"HD 620"
7100H,2,4,3,NULL,3,"HD 630"
7100U,2,4,2.4,NULL,3,"HD 620"
7130U,2,4,2.7,NULL,3,"HD 620"
7167U,2,4,2.8,NULL,3,"Iris Plus 650"
7200U,2,4,2.5,3.1,3,"HD 620"
7260U,2,4,2.2,3.4,4,"Iris Plus 640"
7267U,2,4,3.1,3.5,4,"Iris Plus 650"
7287U,2,4,3.3,3.7,4,"Iris Plus 650"
7300HQ,4,4,2.5,3.5,6,"HD 630"
7300U,2,4,2.6,3.5,3,"HD 620"
7360U,2,4,2.3,3.6,4,"Iris Plus 640"
7440HQ,4,4,2.8,3.8,6,"HD 630"
7500U,2,4,2.7,3.5,4,"HD 620"
7560U,2,4,2.4,3.8,4,"Iris Plus 640"
7567U,2,4,3.5,4,4,"Iris Plus 650"
7600U,2,4,2.8,3.9,4,"HD 620"
7660U,2,4,2.5,4,4,"Iris Plus 640"
7700HQ,4,8,2.8,3.8,6,"HD 630"
7820HK,4,8,2.9,3.9,8,"HD 630"
7820HQ,4,8,2.9,3.9,8,"HD 630"
7920HQ,4,8,3.1,4.1,8,"HD 630"
7Y30,2,4,1,2.6,4,"HD 615"
7Y32,2,4,1.1,3,4,"HD 615"
7Y54,2,4,1.2,3.2,4,"HD 615"
7Y57,2,4,1.2,3.3,4,"HD 615"
7Y75,2,4,1.3,3.6,4,"HD 615"
8100H,4,4,3,NULL,6,"UHD 630"
8109U,2,4,3,3.6,4,"Iris Plus 655"
8130U,2,4,2.2,3.4,4,"UHD 620"
8250U,4,8,1.6,3.4,6,"UHD 620"
8259U,4,8,2.3,3.8,6,"Iris Plus 655"
8269U,4,8,2.6,4.2,6,"Iris Plus 655"
8300H,4,8,2.3,4,8,"UHD 630"
8350U,4,8,1.7,3.6,6,"UHD 620"
8400H,4,8,2.5,4.2,8,"UHD 630"
8550U,4,8,1.8,4,8,"UHD 620"
8559U,4,8,2.7,4.5,12,"Iris Plus 655"
8650U,4,8,1.9,4.2,8,"UHD 620"
8750H,6,12,2.2,4.1,9,"UHD 630"
8850H,6,12,2.6,4.3,9,"UHD 630"
8950HK,6,12,2.9,4.8,12,"UHD 630"
