igpu_id,igpu_name
"HD 610","Intel HD Graphics 610"
"HD 615","Intel HD Graphics 615"
"HD 620","Intel HD Graphics 620"
"HD 630","Intel HD Graphics 630"
"Iris Plus 640","Intel Iris Plus Graphics 640"
"Iris Plus 650","Intel Iris Plus Graphics 650"
"Iris Plus 655","Intel Iris Plus Graphics 655"
"UHD 620","Intel UHD Graphics 620"
"UHD 630","Intel UHD Graphics 630"
"UHD P630","Intel UHD Graphics P630"
"Vega 10","Radeon™ RX Vega 10 Graphics"
"Vega 11","Radeon™ RX Vega 11 Graphics"
"Vega 3","Radeon™ RX Vega 3 Graphics"
"Vega 6","Radeon™ RX Vega 6 Graphics"
"Vega 8","Radeon™ RX Vega 8 Graphics"
